"animalID","season","date","area","observer","withpup","age","birth_date","precision"
15850,2004,2004-01-25,"TSC","P. Morris, R. Condit","1",6,2004-01-06,NA
14847,2004,2004-01-07,"BMS","P. Morris, R. Condit","0",8,2004-01-09,2
14847,2004,2004-01-07,"BMS","P. Morris, R. Condit","0",8,2004-01-09,2
14847,2004,2004-01-09,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-10,"BMS","P. Morris, R. Condit","0",8,2004-01-09,2
14847,2004,2004-01-11,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-12,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-13,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-14,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-16,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-17,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-18,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-19,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-21,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-22,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-23,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-23,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-28,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-29,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-30,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
14847,2004,2004-01-31,"BMS","P. Morris, R. Condit","1",8,2004-01-09,2
15911,2004,2004-01-08,"BMC","P. Morris, R. Condit","0",6,2004-01-16,3
15911,2004,2004-01-08,"BMC","P. Morris, R. Condit","0",6,2004-01-16,3
15911,2004,2004-01-09,"BMC","P. Morris, R. Condit","0",6,2004-01-16,3
15911,2004,2004-01-10,"BMS","P. Morris, R. Condit","0",6,2004-01-16,3
15911,2004,2004-01-12,"BMS","P. Morris, R. Condit","0",6,2004-01-16,3
15911,2004,2004-01-13,"BMS","P. Morris, R. Condit","0",6,2004-01-16,3
15911,2004,2004-01-16,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-01-17,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-01-18,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-01-19,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-01-20,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-01-21,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-01-21,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-01-22,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-01-23,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-01-23,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-01-25,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-01-28,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-01-29,"BMS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-02-01,"BBS","P. Morris, R. Condit","1",6,2004-01-16,3
15911,2004,2004-02-08,"BBS","P. Morris, R. Condit","1",6,2004-01-16,3
13976,2004,2004-01-08,"BBS","P. Morris, R. Condit","0",9,2004-01-11,1
13976,2004,2004-01-08,"BBS","P. Morris, R. Condit","0",9,2004-01-11,1
13976,2004,2004-01-09,"BBS","P. Morris, R. Condit","0",9,2004-01-11,1
13976,2004,2004-01-10,"BMS","P. Morris, R. Condit","0",9,2004-01-11,1
13976,2004,2004-01-11,"APG","P. Morris, R. Condit","1",9,2004-01-11,1
13976,2004,2004-01-13,"APG","P. Morris, R. Condit","0",9,2004-01-11,1
13976,2004,2004-02-03,"APG","P. Morris, R. Condit","1",9,2004-01-11,1
14749,2004,2004-01-08,"APG","P. Morris, R. Condit","0",8,2004-01-11,1
