YY,MM,DD,hh,WD,WSPD GST,WVHT,DPD,APD,MWD,BAR,ATMP,WTMP,DEWP,VIS
1999,1,11,9,11,1.1  1.7,2.43,16.67,13.78,282,1017.7,11,11.3,999,99
1999,1,11,10,263,1.6  2.8,2.07,16.67,13.24,276,1017.9,10.9,11.3,999,99
1999,1,11,11,319,2.2  2.8,2.22,16.67,13.32,281,1018,11,11.3,999,99
1999,1,11,12,326,2.3  3.0,1.97,16.67,12.71,279,1017.4,10.9,11.3,999,99
1999,1,11,13,299,2.0  2.9,2.18,16.67,12.3,277,1017.7,10.9,11.3,999,99
1999,1,11,14,293,2.7  4.3,2.42,16.67,13.11,280,1017.8,10.5,11.3,999,99
1999,1,11,15,314,3.7  5.5,2.26,14.29,12.58,272,1018,10.5,11.1,999,99
1999,1,11,16,36,2.0  2.8,2.35,16.67,12.58,278,1017.9,10.5,11,999,99
1999,1,11,17,28,.6  2.4,2.4,16.67,12.17,278,1018.6,10.5,11.1,999,99
1999,1,11,18,331,5.5  7.0,2.08,16.67,11.53,271,1018.9,10.7,11.3,999,99
1999,1,11,19,341,5.5  8.0,2.25,16.67,11.14,274,1019,10.3,11.3,999,99
1999,1,11,20,309,5.0  6.1,2.2,14.29,9.25,276,1018.7,10.5,11.4,999,99
1999,1,11,21,300,7.1  8.7,2.46,16.67,10.47,272,1017.9,11,11.4,999,99
1999,1,11,22,310,8.9 10.5,2.52,16.67,8.95,284,1017.4,10.3,11.4,999,99
1999,1,11,23,303,6.5  7.6,2.43,16.67,8.84,278,1017.4,10.3,11.4,999,99
1999,1,12,0,297,8.4 10.4,2.42,16.67,7.97,277,1017.2,10.3,11.4,999,99
1999,1,12,1,307,10.0 11.9,2.44,14.29,7.92,284,1017.3,10.2,11.4,999,99
1999,1,12,2,312,9.5 11.8,2.68,16.67,7.67,277,1017.6,10.2,11.4,999,99
1999,1,12,3,317,8.7 10.3,2.24,14.29,6.82,282,1018,10.3,11.4,999,99
1999,1,12,4,318,8.2 10.1,2.32,14.29,7.31,283,1018.4,10.6,11.4,999,99
1999,1,12,5,323,8.5 10.3,2.25,16.67,7.66,279,1018.8,10.9,11.4,999,99
1999,1,12,6,321,8.7 11.2,2.41,14.29,8.33,279,1018.9,11,11.4,999,99
1999,1,12,7,324,8.5 10.7,2.5,14.29,8.2,279,1019.6,10.7,11.4,999,99
1999,1,12,8,322,8.2 10.4,2.29,14.29,7.59,278,1019.8,10.5,11.3,999,99
1999,1,12,9,320,8.7 11.4,2.48,14.29,7.29,279,1019.9,10.4,11.3,999,99
1999,1,12,10,318,8.3  9.9,2.64,14.29,7.94,282,1019.7,10.6,11.3,999,99
1999,1,12,11,330,7.0  8.6,2.22,14.29,7.12,274,1019.8,10.8,11.3,999,99
1999,1,12,12,318,7.1  8.8,2.18,14.29,7.08,282,1019.2,10.9,11.4,999,99
1999,1,12,13,330,7.6  9.0,2.25,12.5,6.86,276,1019.2,10.6,11.4,999,99
1999,1,12,14,335,7.8  9.5,2.48,14.29,7.15,284,1019.4,10.6,11.4,999,99
1999,1,12,15,322,7.7  9.5,99,99,99,999,1020,10.7,11.4,999,99
